gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP1A3,21.85576184913485,-2.7950899841001546,0.3506908155209856,-7.970240053044374,1.5836644447371624e-15,2.750561196434328e-12
ERFL,59.950841249004505,-3.8846245405199404,0.4903674095045222,-7.9218652488448384,2.339738012907467e-15,3.838195968752098e-12
UPK3B,19.84320082666095,-3.0048497512507955,0.3795984677944386,-7.915863751267803,2.455423963632471e-15,3.838195968752098e-12
KRT6B,16.385057670201483,-5.705263104964145,0.746654935484566,-7.641097425093065,2.1537800807885845e-14,2.6933450666277406e-11
SYT9,28.763230160172846,4.1902735907801,0.5636534365184702,7.434131186464948,1.0525746997439066e-13,9.971709950937501e-11
GRM1,19.69261224653243,-4.14033997658166,0.5750725255497011,-7.199683157570406,6.035263631620957e-13,4.192898820341466e-10
KLK10,23.7542091143837,-6.378361585544714,0.9052849088078723,-7.045695254043374,1.8453773848685237e-12,1.0489460578753572e-09
ARHGAP40,22.875579337170464,-4.14033997658166,0.5956144657240225,-6.951375788948824,3.617408348825167e-12,1.8539514296610033e-09
ENSG00000297065,10.119453244916128,-5.010681713400622,0.7324682718120218,-6.840817419988598,7.874256330043558e-12,3.7298920552447234e-09
DLK1,28.94284412274272,4.598251636991167,0.719096696719024,6.394483047928481,1.610914190654208e-10,5.246042744002344e-08
MAGEA4,21.21320948826048,7.397904762961218,1.1715255809299014,6.314761609464057,2.70578242254409e-10,7.690079625090534e-08
OLFM4,54.077485115439096,-4.96094789986811,0.7939505304081741,-6.248434518102357,4.145869679503148e-10,1.0711762296719579e-07
AQP5,19.148737185798083,-5.099031662979776,0.8172430111135195,-6.239308985992042,4.3950807874380836e-10,1.1080920214328775e-07
ENSG00000286722,5.460727392795028,-4.712433293670953,0.7786582572328118,-6.0519916791455515,1.4306586140261493e-09,2.885592274212871e-07
CEACAM7,11.882970599338261,-4.723910125300241,0.7835166529121854,-6.029112601171076,1.6486239737041275e-09,3.241568005654852e-07
CHST5,17.06662425167012,5.706955102855796,0.951546293458617,5.997559069998093,2.003055139766941e-09,3.8418106033456364e-07
MAGEA10,21.870567098076176,6.74995124837025,1.1277238761086528,5.985464519614298,2.1577315643572637e-09,4.063684451596454e-07
CSAG1,41.44333660314834,4.044932602052866,0.6967029145143615,5.805821273006151,6.405125843579912e-09,9.939334157992799e-07
HTN3,154.6703366972408,-10.48140120197699,1.8058016009140307,-5.804292784252538,6.463824311073495e-09,9.954607854043875e-07
PRSS2,6.413896698199773,-5.831289636687077,1.0189756624838715,-5.722697657442211,1.0484575299298739e-08,1.4567967892532286e-06
ENSG00000289940,5.024410997123455,-4.567582691099705,0.8031901902862117,-5.68680089266538,1.2944122280328878e-08,1.722008914254986e-06
TMPRSS4,8.986981135130346,-4.0432215980640205,0.7323431313580266,-5.520938785301965,3.371932449607036e-08,3.833335424438719e-06
ENSG00000298462,10.369311255873532,-4.571488869525758,0.8296340178681688,-5.510247616500436,3.583292564675343e-08,3.958462030015733e-06
MIR663AHG,8.72504635474449,5.029699311429493,0.9224925585365943,5.452292557685679,4.9724561627051204e-08,5.181796567155005e-06
INSL6,7.367319412654144,4.3734900916240305,0.8307926788308942,5.2642376408257245,1.4077226700613077e-07,1.1798829446146559e-05
ENSG00000287376,4.309715826770254,4.63021194367626,0.8847043343365375,5.233626381121524,1.6621626498878713e-07,1.3603191341215843e-05
ENSG00000293608,11.60382990803358,5.181674003685828,1.0317042605980216,5.022441218457603,5.101881420027868e-07,3.228747344824519e-05
ENSG00000298693,4.489037631010067,4.561392747034817,0.9171557027198849,4.973411530351619,6.5784802842473e-07,3.924866968061514e-05
SFRP2,263.55879955502434,-4.795042358753332,0.9739801286269953,-4.92314187714777,8.516566012687616e-07,4.73760504011838e-05
ENSG00000227370,2.695235380555839,4.1863940504789765,0.8561093339232475,4.890022669527744,1.0082436554061432e-06,5.425253252833435e-05
RLBP1,9.975419371536884,-6.602163746441019,1.3639829077543595,-4.840356656162738,1.2960631377046327e-06,6.675258957835245e-05
CEACAM6,232.3415642527335,-5.063382222611884,1.0492636028337696,-4.82565316183378,1.3954517503071262e-06,7.059224606772118e-05
ENSG00000297227,9.087347704308188,6.12577951926972,1.2793820872651311,4.788076666263541,1.6838732410711096e-06,8.197586195432889e-05
ENSG00000286598,2.723020647431588,-4.24594928440588,0.938458489696403,-4.524386886605363,6.057083639278947e-06,0.00021567494967514547
DAPL1,5.045262474129284,-4.7122788322055476,1.046189837708908,-4.504229215727377,6.661427648053678e-06,0.00023289798468944975
PAGE2,80.09505963983881,16.180964653925763,3.5939954037001556,4.502221855171779,6.724673088254891e-06,0.00023316173668153163
TLX3,4.622398349642899,-4.876941126191592,1.0944768172731787,-4.4559565348695,8.351995399310508e-06,0.00027456196863159246
ALDH3B2,39.18233111362578,-4.522440723596148,1.02559009926085,-4.409598656281396,1.0356237103503905e-05,0.0003244158723114655
UCN3,4.28477448925012,5.235234593300051,1.1906103523989275,4.397101522552465,1.0970603926408643e-05,0.0003392423249765711
KLK7,6.218556945400688,-5.781555823154564,1.3696416093238832,-4.221218006080146,2.4298579435811683e-05,0.0006206262164230234
LMX1B-DT,2.6522846664980726,-4.435045208960278,1.0545707371790185,-4.2055454912622015,2.6045319136315487e-05,0.0006545456689378063
HS3ST4,19.461694624819014,6.610623356080172,1.6082241326122098,4.11051122914233,3.9478408008288685e-05,0.0009013174102511077
ENSG00000258763,6.16881149103696,4.62309063615188,1.149390258804385,4.022211429702646,5.765426832692116e-05,0.001197638133358496
POTEF,1.916156911342618,4.068216386447401,1.0554702649699952,3.854411177147706,0.00011600848973776432,0.002077962859328265
ENSG00000232590,2.396109697148473,4.555500054320347,1.1835892677683217,3.848885908630974,0.00011865625271119629,0.00211250024402627
SERPINB5,6.622362606775013,-4.391842816034971,1.1451011840416887,-3.835331652119819,0.0001253949724693022,0.0022023724855661764
MAGEA9,7.5651039695205835,5.970294872180428,1.5830369057912355,3.77141862602145,0.00016232209309362039,0.002669611575416495
ENSG00000306848,4.45144722930224,-5.182290622232238,1.3782718924720037,-3.759991515852163,0.0001699191195416933,0.002756599081051804
COX8C,2.7426855385653415,4.146274900873281,1.10375067139232,3.7565321664928057,0.00017228413595533687,0.0027777818165919013
CEACAM5,98.01367678795883,-6.063160502642869,1.6148057968710052,-3.7547304538981723,0.0001735281211387664,0.0027865973197111716
NFE4,1.642119243629271,4.2991158705320345,1.1623235221301207,3.6987256892584455,0.0002166846270117969,0.0032873749877912945
ENSG00000287677,1.8062995199609044,4.002683239261058,1.0996826375567628,3.6398530835715315,0.0002727936419220065,0.0038606234489061294
ENSG00000309197,2.5569005526989494,-4.679075272048307,1.333973294680187,-3.507622896731295,0.0004521294624207625,0.005660762268185942
CCDC86-AS1,6.129112902406788,4.7862942536860595,1.3646362338380913,3.507377376478144,0.0004525468706842517,0.005663720103363395
KLK11,2.6938070827380876,-4.375071837204167,1.2527543730589832,-3.4923620553972525,0.0004787688160501084,0.005906319561886214
TNP1,2.2682640374481737,4.4038873444477495,1.265264175666919,3.480606998239294,0.0005002789575255264,0.006104692056643455
SEPTIN7P11,3.944403307014418,5.13765584161273,1.4767811888901365,3.478955366078231,0.0005033724188652582,0.006135256113444276
ENSG00000287424,2.1379827829300444,4.067387218437176,1.1750125732428391,3.4615691023729767,0.0005370362321074906,0.006440504236308348
ZBTB46-AS1,4.4210402208719115,4.406478631796464,1.304729924412426,3.3773109279921547,0.0007319825650957391,0.008077645934552805
