gene_id,log2FoldChange,pvalue,padj
TRO,1.5568014850896255,1.130774908063245e-09,2.372578251730284e-07
GNAO1,1.8061545114874875,1.1780129116134823e-09,2.4552145103848194e-07
HOOK2,-1.229503079,1.2120410171920716e-09,2.5094065112897837e-07
TMEM79,-0.71584363,1.2459208128559834e-09,2.562580419231356e-07
VTCN1,-2.865000076,1.2705872226593748e-09,2.596233224967323e-07
CDC42EP5,-1.595027194,1.350832975039975e-09,2.7422786557581e-07
ENSG00000286722,-4.712433294,1.4306586140261493e-09,2.885592274212871e-07
PKNOX2,-2.157743236,1.4416345130693905e-09,2.889091011672331e-07
PDZD4,-1.882275928,1.5579043460860832e-09,3.1022142402349824e-07
DDX17,-0.675281694,1.622851331818239e-09,3.211088682698329e-07
CEACAM7,-4.723910125,1.6486239737041275e-09,3.241568005654852e-07
LINC00926,-1.865036444,1.6910489590501712e-09,3.3042039754240943e-07
UBE2D4,0.5934142170049379,1.777248571451805e-09,3.4510634838073155e-07
EGFL6,-2.277805764,1.8661123178389384e-09,3.601251197073996e-07
CHST5,5.706955102855796,2.003055139766941e-09,3.8418106033456364e-07
LTC4S,-1.350902973,2.050893284272921e-09,3.909577850379532e-07
CRABP2,-2.346664106,2.1030633075730707e-09,3.9847314051307216e-07
MAGEA10,6.74995124837025,2.1577315643572637e-09,4.063684451596454e-07
TGFB3,-1.426691531,2.186457942193729e-09,4.074343909923691e-07
NEXN,-1.710229159,2.18945647208259e-09,4.074343909923691e-07
CCDC80,-2.237701371,2.2935440581473042e-09,4.2427850822401875e-07
IGHV3-72,-3.114240873,2.3499309349245385e-09,4.3215229893262265e-07
CXCL14,-3.173096884,2.4626938121942534e-09,4.502409160855494e-07
ENSG00000293809,1.479486096922842,2.5551396574113284e-09,4.644263436607579e-07
LAMP5,-3.143626546,2.6614337755720115e-09,4.7275229616879425e-07
GORAB,-0.607587108,2.6343174736047503e-09,4.7275229616879425e-07
PPP1R15A,-1.423899133,2.654709759189913e-09,4.7275229616879425e-07
MMP23B,-2.419173359,2.6346005739154824e-09,4.7275229616879425e-07
FOXCUT,-3.641749433,2.6916298508233562e-09,4.7541482500729144e-07
FHL1,-1.252118901,2.7497611765767756e-09,4.82953840805167e-07
WNT16,-2.844574021,2.827362737759879e-09,4.938091691094251e-07
CMKLR2,3.536860929803677,2.848986216061074e-09,4.948214226262075e-07
CHRDL2,-1.7501202,2.9283571281595457e-09,5.057968447384081e-07
IL11,-3.320399462,3.106503353057246e-09,5.336187600364214e-07
TSPYL5,-1.67280463,3.2957413306090994e-09,5.630314820701217e-07
ENSG00000305889,1.8180019692192992,3.398303179191551e-09,5.773975667992689e-07
HOXC4,-2.166798653,3.5894237851665594e-09,6.065738151116873e-07
SMARCB1,-0.462137869,3.725055432926979e-09,6.261097204279363e-07
RHPN1,-1.587600434,3.787755068399699e-09,6.332437791624588e-07
PRODH,2.2605239161900528,4.065734757686755e-09,6.729670479015612e-07
UGP2,0.9516500832562927,4.068412246214217e-09,6.729670479015612e-07
MYH11,-2.008840275,4.1752667779555416e-09,6.870071856801269e-07
